本文,いいね数,リポスト数,リプライ数,投稿日時,ユーザー名,フォロワー数,ポストURL
"最近マジでうちの歯医者が繁盛しすぎてるwww
新規患者数もずっと右肩上がりだし、自費成約率もめっちゃ上がってる！！！
副業のためにX集客とかAI使った効率化とか学んだおかげで本業でめちゃめちゃ結果だしてるw
X集客とAIの知識はどんな分野でも役立つってことだね(ﾟ∀ﾟ)",148,0,25,Thu Feb 12 03:57:29 +0000 2026,1_neruru,0,https://x.com/1_neruru/status/2021795769582596403
"私がAI副業で犯した、たった一つの大罪を告白します。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
それはもっと早く始めなかったこと。悩んでる時間があったら、1つでもAIを触っておけばよかった。1年前に始めてたら、今頃資産は倍になってた。マジで後悔してる。あなたには同じ後悔してほしくない。始めるなら、今。",106,1,25,Wed Feb 11 22:24:22 +0000 2026,serena_ailab,0,https://x.com/serena_ailab/status/2021711937248407752
正直、AI副業で月100万円は型さえ覚えれば、普通にいけちゃうんだよな🤔その通りやればいいのに余計な知識や自己流を入れるから、型が崩れてポシャる。そのまま実践したスクール生は、2月10日時点で36万円越え。あとはこれを淡々と繰り返すだけで100万円は見えてくる。正しい型をおさえたら勝ち決定！ https://t.co/3IKe8UG94a,119,1,22,Wed Feb 11 22:02:30 +0000 2026,hiroki_e_0711,0,https://x.com/hiroki_e_0711/status/2021706435273584882
"マジで誰でもできるAI副業の始め方🔥

ステップ①
noteとXのアカウント作る（両方無料）
Xのプロフィールは「AI×副業で月〇万達成」系にしとけ

ステップ②
まずXで発信してフォロワー100人作る
ChatGPTに「AI副業のコツを5つ、バズるツイート形式で」
って頼めば投稿ネタに困らない
1日3ツイート×1ヶ月で100人はいく

ステップ③
noteのネタをChatGPTで作る
「副業初心者がAIを使って月5万稼ぐ具体的な手順を5000文字でまとめて」
出力されたものに自分のエピソード2〜3個混ぜろ
「俺が最初にやったのは〜」みたいなリアルな話を入れるだけで一気に読まれる

ステップ④
noteで980円で有料販売
無料部分を1000文字くらい見せて「続きは有料で」
Xで「AIで副業始めて3ヶ月で月10万いった全手順まとめた」って告知

ステップ⑤
売れたnoteのジャンルを横展開して量産
「AI×ライティング編」「AI×画像生成編」「AI×SNS運用編」
こんな感じで3〜5本作れ

1本980円×月30DL＝約3万
5本あれば→月150DL×980円＝約15万
俺も最初noteを8本くらい出した
3本目くらいから毎日勝手に売れるようになって放置で月7万入ってきた時は笑ったwww
noteは「寝てる間に売れる」を最初に体験できる最強の入り口🔥",303,13,4,Wed Feb 11 13:09:06 +0000 2026,Ldayo_m,0,https://x.com/Ldayo_m/status/2021572200076345346
"X、副業未経験、20代前半の高卒の弟。俺のX×AIフル活動の自動運用マネタイズを教えたら
「想像もできないほど稼げるようになった(月50万以上)」と感謝された。

確かにこれだけをやれば月50万は行く👇

①X垢を10〜15個くらい新規作成
②AIの使い方を覚える、特殊プロンプトを用意
③各アカウントごとのGPts作成
④1日2ポストで集客(朝、夜ごとで約1日15分)
⑤NanobananaproでAI美女量産（ワンポチで実写クオリティ）
⑥加工アプリでより洗練されたアイコン、素材を用意
⑦とあるプラットフォームで外注手配で仕組み化
⑧新規集客作業（挨拶回り）をAI×外注で自動化。勝手にフォロワーが増える
⑨日々のいいね、DM、メッセージをAIでの自動化で自然とファン化が進む
⑩ストーリー、世界観を徹底的にこだわり、 自分の憧れや妄想をAIに丸投げ→ブラッシュアップしてもらい、エンタメとして価値提供
⑪Claudeでコンテンツ作成。特殊プロンプトで5分で完成。AIバレリスク0。

【ゆるおの楽稼ぎX運用のメリット】
・コンテンツが勝手に売れ、自販機でマネタイズが一連の流れで完結する。
・コンテンツはClaude最強プロンプトで完全量産。人間が書いたレベルでAIバレほぼゼロ（現状、人間味のある長文が得意なClaude skillsは課金して使うのが最強）
・投稿自体は外注に丸投げor予約ツ一⚪︎で自動化
・アカウントが育ったら継続運用で安定収益化。運用益を積み重ねて回収
・ポスト→AIで生成。外注丸投げ。
・リプ返信→AIで自動化
・挨拶周り→AIで生成。外注が自動集客してくれる。

結果→仕組み化＆完全自動運用でわずかたった１カ月でフォロワー300人、リスト100人の自販機が完成。ちな、これ俺は作業何もしないから1アカでも10アカでも労力変わらないんよね。1アカの平均売上は低く見積もっても10万。つまり･･･。

今ならまだ、ライバル弱いから余裕で先行者利益とれる。

本業忙しい人でも副業で月50万狙うなら、これ以上の近道はないな。

俺のプロフと過去ポストにこの手法の手順をより深掘って語ったりしてるから続きはそっち読めばより稼ぐヒント落としてある。

今後より詳細な手順、プラットフォーム、ポストの仕方、プロンプトについても詳しく解説していくから、爆稼ぎしたい人はフォローと通知ONと反応見逃さないで。みんなで稼いでブチ上げよ🔥

今見てても後で絶対忘れるから、これ必ずブクマ保存して定期的に見直すのオススメ👍",143,2,20,Wed Feb 11 11:03:58 +0000 2026,y_ruo1,0,https://x.com/y_ruo1/status/2021540710403428470
"【募集】生成AIで書いた副業ブログで月15万円を放置で稼げている人2人目
https://t.co/lMeMFVXnnK https://t.co/mvPHjk7mi7",699,34,1,Wed Feb 11 10:53:51 +0000 2026,kyuyokaitori,0,https://x.com/kyuyokaitori/status/2021538165862105430
"noteのタイトル、AI任せにしてる人いますか？

それ、絶対売れないですよ。マジで言ってます。

AIに「タイトル考えて」って丸投げすると、こうなりません？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　

「【完全版】初心者でもできる副業の始め方」
「AI時代に知っておくべき5つのこと」
「人生を変える習慣術」

まあ、悪くないんですけど…誰がクリックするんですかこれ？？？

キレイすぎるんですよ。整いすぎてる。

人間の感情、1ミリも動かない。

じゃあAI使えないの？？？

違います。使い方が間違ってるんです。

正しい使い方、教えますね。

①まず自分で5個くらい案を出す

「月10万稼いだ方法」
「地獄だった3ヶ月の話」
「これ知らないとやばい」

下手でいいんです。感情が入ってればOK。

②AIに「もっと刺さる表現にして」って投げる

自分の案をベースに、AIにブラッシュアップさせる。

これだけで全然違います！！！

③最後は自分で選ぶ

AIが出してきた案、全部正解じゃないです。

「これ、自分がクリックするか？」

この感覚で選んでください。

丸投げ → 売れない
自分の案をAIで磨く → 売れる

この差、めちゃくちゃデカいですよ！！！

タイトルはnoteの顔です。

ここ手抜いたら、中身どんなに良くても読まれない。

AI任せじゃなく、AIを「使う」側になってください！",166,9,11,Wed Feb 11 02:46:46 +0000 2026,note_ai_mousigo,0,https://x.com/note_ai_mousigo/status/2021415586706883061
"AIで副業してみたい。
でも何から始めればいいかわからない。

この状態で詰んでる人、正直めちゃくちゃ多い。

原因はシンプルで
最初から“考えすぎている”から。

・ジャンルどうする？
・実績ないけど大丈夫？
・商品って何作ればいい？
・毎日投稿できない…

ここで脳がフリーズして終了。

だから逆にする。

---

AIで稼ぐ最短ルートは「思考ゼロ」から入ること。

思考ゼロ＝何もしない、じゃない。
人間が考えるのをやめるって意味。

役割を最初から分ける。

AI：
・ネタを出す
・構成を作る
・文章を書く
・選択肢を並べる

人：
・選ぶ
・貼る
・出す
・置く

これだけ。

---

例えば、最初の一手。

❌
「何を売ろう…」と悩む

⭕
AIにこう投げる。

「実績ゼロでも売れる
　小さなデジタル商品を
　初心者向けに10個出して」

出てきた候補から
1つ選ぶだけ。

考えない。選ぶだけ。

---

次にやること。

❌
「どうやって集客しよう…」

⭕
AIに聞く。

「この商品に興味を持つ人が
　思わず続きを読みたくなる
　Xの投稿案を5つ出して」

これも
1つ選んで投稿するだけ。

---

ここまでにかかる時間、
だいたい15分。

・毎日やらなくていい
・気分乗らない日はスキップOK
・完璧じゃなくていい

置いた投稿とnoteが
あとから勝手に働く。

---

実績がないから無理？
逆。

実績がない人ほど思考ゼロが向いてる。

なぜなら
「成功談」を語らなくていいから。

必要なのは
・悩みを言語化すること
・詰まりポイントを整理すること

これ、AIが一番得意。

---

ほとんどの人は
「もっと学んでから」
「準備が整ってから」
と言って動かない。

でもAI時代は逆。

出しながら整える。
考えながらはやらない。

---

・時間がない
・自信がない
・続かない

これ全部
「考えすぎ」が原因。

だから入口は
思考ゼロでいい。

---

この
思考ゼロAIを入口にした
収益化ルートを
そのままテンプレ化してまとめた。

・15分で終わる流れ
・AIに投げる質問文
・X→noteの動線
・実績ゼロ用スタート手順

続きはnoteに置いてます。

考えるのがしんどい人ほど
先に読んだ方がいい。
↓
https://t.co/wxO9aDM2jn",108,1,17,Wed Feb 11 02:21:00 +0000 2026,HimazinProducer,0,https://x.com/HimazinProducer/status/2021409100936978518
"AI副業って聞くと「画像生成で稼ぐ」とか「ChatGPTでライティング」とかを想像する人が多いんやけど、正直それだけやと単価低すぎて消耗するだけ。

一番おいしいのは企業向けのAI活用支援。

理由はシンプルで、企業はAI導入に予算つけてるから。

個人相手に3000円の商品大量に売るためにせこせこやってる間に、企業相手に研修一発決めたら数十万。
どっちが楽かって話。
しかも今、AI使える人材が圧倒的に足りてない。

俺も元々は会社で何のスキルもなかった側の人間やけど、AIを毎日触ってるうちに企業に教えて稼げるようになった。

副業で稼ぎたいなら個人向けより法人向け一択やと思うわ。",102,0,19,Wed Feb 11 01:13:02 +0000 2026,kaede_gpt,0,https://x.com/kaede_gpt/status/2021391998549360669
"これはマジ。AI時代は「AIを使いこなせる人」が強い。AIを相棒にしてスキルを磨けば、""収入の柱""を増やすことは十分可能。会社に依存しない働き方を目指したい人は、まずは興味のあるジャンルから一歩踏み出してみて。今、注目されている『AI副業30選』は↓ https://t.co/qZ1Z9eyTzh",442,73,30,Tue Feb 10 21:16:18 +0000 2026,chokki_hansei,0,https://x.com/chokki_hansei/status/2021332423544639835
私が大学生だったらバイトせずに、AI駆使してX垢10個ぐらい運用して稼ぐな…,2135,124,41,Sat Feb 14 08:26:02 +0000 2026,tamago_ayumii,0,https://x.com/tamago_ayumii/status/2022588128444453023
"❌AIが失敗する
→SaaS・ソフトウェアは復活、でもメガテックが一番稼ぐ

⭕️AIが成功する
→SaaS・ソフトウェア、その他全部4んで、メガテックが超一番稼ぐ

AIが成功しようが失敗しようがこうなるだけなんですけど、あえてメガテック買わない理由って何かあるんですか…🥺

誰か教えてください…。",215,10,13,Sat Feb 14 07:59:49 +0000 2026,yukimamax,0,https://x.com/yukimamax/status/2022581529436999791
"これはね、みんな読んだ方がいい。

・iPhone転売
・トレカ転売
・AI物販
・MNP
など色々稼ぐ方法は沢山あるけど、知らずに法に触れているなんて事もあったりする。

「みんなやっているから大丈夫」
は間違い。

大人なんで自分で調べて、本当に問題ないか自己判断しようね。",339,20,2,Sat Feb 14 06:36:22 +0000 2026,sedoriyuizo4808,0,https://x.com/sedoriyuizo4808/status/2022560529949298916
"Claude codeフル活用してXで稼ぐ無限の可能性。
完全自動で集客したリストから通知きまくりで鳴りやまない😰
まあ、これもAIで全て自動返信してるから、勝手に売れてく仕組みになってるし楽勝。
手取り17万会社員の俺でもできたのほんと助かる。。 https://t.co/VOEsiF4BAl",454,16,6,Sat Feb 14 04:01:32 +0000 2026,y_ruo1,0,https://x.com/y_ruo1/status/2022521567155228973
"バズ無し、広告なし、泥臭いSEO対策メインで月6万円稼ぐAI SaaS(https://t.co/UBvbd66ghH)に成長しました！

個人開発×バイブコーティングで情報発信するからにはプロダクトでマネタイズしなければというポリシーの元、ここまでこれて嬉しいです。今年の目標の「個人開発で飯を食う」まで頑張ります🐶 https://t.co/aeTIAVLKDZ",201,5,9,Fri Feb 13 11:46:16 +0000 2026,Shin_Engineer,0,https://x.com/Shin_Engineer/status/2022276130984923439
"私が資産欲しいと
思った理由の1つは　
すごい低血圧(上80とか)で
朝　起きれなかったこと
🤣🤣🤣
自己卑下してたし
会社員なんて無理すぎた😂

自己卑下やめて
私が王様だから
私が起きた時間が朝でよくね？☀っ思ったら👩‍❤️‍💋‍👨
別になんの稼ぐにもなんの問題もなかった🤣💕

【問題としてみない】💮",372,17,3,Fri Feb 13 03:53:29 +0000 2026,ai_am12,0,https://x.com/ai_am12/status/2022157150764892285
"正直30分も働いていませんw
それどころか「睡眠用BGM」を
Runway × CapCutで
月10万円が""半自動""で稼げる仕組みを作りました。
しかも今は、制作はほぼ外注。
自分がやってるのは管理のみ笑
手順はこんな感じです👇
ーーーー
❶まずは月10万円を稼ぐ
AIを活用して睡眠用BGM動画を量産。
目標は月40万再生だけ。
1分の動画を約50本投稿すれば、
早い方で3〜4ヶ月くらいで到達できます。
派手さはなくても再現性は高いですね。
ーーーー
❷使うツールは無料のみ
Runway・Canva・CapCut。
この3つでOK。
1本あたり20分ほどで作れちゃうので
初期投資もなく始められます。
ーーーー
❸制作はテンプレ化
背景映像・音源・サムネは固定。
考える工程を消して、
「作る→出す」を繰り返すだけ。
ーーーー
❹毎日投稿を3ヶ月継続
週3本だと半年以上かかっちゃうけど、
毎日1本なら一気に前進。
収益化は""スピード""が大切。
迷ってる時間は1番のロスですね。
ーーーー
❺月10万ですぐに外注
収益の30%ぐらいを外注費にして
同化制作は全てお任せ。
自分は企画＋週1回のチェックだけ。
作業時間は週いた時間に減少。
ーーーー
❻外注は2〜3人で比較する
クラウドワークスで募集して、
品質が安定している人を決める。
最初から1人に絞らないのがポイント。
ーーーー
❼同じ仕組みで横展開
2つ目のチャンネルを作成。
外注先は変えなくてOK。
月10万×2
＝月20万の仕組みが完成。
ーーーー
❽仕組み化後の数字感
売上：月10万円
外注費：3万円
純利益：7万円
作業は管理だけ。
時給換算で余裕の1万超え。
ーーーー
【まとめ】
・3〜4ヶ月で月10万円
・達成したらすぐ外注
・空いた時間で次を作成
・あとは管理するのみ。
たったこれだけです。
ーーーー
目安スケジュール
・1〜2ヶ月目：収益化条件クリア
・3〜4ヶ月目：月10万円
・外注後：週1時間で安定収益化
・複数横展開：月20〜30万円も現実的
ーーーー
結論
月10万は正しい型があれば誰でも届きます。
さらに外注化すると
「ほぼ働かずに入ってくる収益」となる。
難しく考えなくていいです。
先に稼いで、後は外注。
制作手順と外注の探し方・マニュアル作成まで
全てまとめました。
これが""仕組みで稼ぐ""ってことです。
マニュアルが欲しい人は
いいねと「外注」ってリプして！",176,10,25,Thu Feb 12 21:00:06 +0000 2026,keito_fukugyo,0,https://x.com/keito_fukugyo/status/2022053119740588136
"マジでエグい事例。プログラミングが分からないとアプリで稼ぐなんて夢のまた夢なんじゃ・・・とか思ってる人は、一度今持ってるマインドを捨て去った方が良い。
プログラミングを1ミリも理解していない18歳の少年がAI使ってアプリ作って月330万円も稼いでしまうのだから。",481,23,1,Thu Feb 12 10:30:01 +0000 2026,statistics1012,0,https://x.com/statistics1012/status/2021894554362818685
"初心者が月10万稼ぐための自動化ツール作っちゃいましたw

ぶっちゃけAI美女noteって、AI画像とテンプレポストでＸアカウント伸ばすだけで余裕で月50万はいけるんよ。ただ、初心者が最初にぶち当たる壁が「どんなポストすればいいか分からん」って悩んで自滅するパターンが9割なんよね🫠

それを避けるには、売れてる他人のポストの型をパクリ倒すこと。最初からオリジナルで戦うと反応がとれないわりにしんどくて 100%挫折する。折角の AI美女バブルを逃すのはまぁ痛い。だから、まずは伸びている他の垢の「ポストの型」を真似る。

でも、いちいちポストを見に行ったりするのだるいよね。。。

だからこのツールを作ったw

パクりたいAI美女垢にアクセスしてSTARTを押すと、勝手にスクロールしてポストを全抜き → シートに保存されますw あとは、自分の AI美女垢でガワだけ変えて投稿するだけ。

投稿の型を真似て、垢育ててNOTE出せば、月10万、20万、30万と雪だるま式にいける👍 実際にバブル乗ってる人たちは、裏でこういうズルい仕組みで勝ってる。今回みたいなツールに出会えるかどうかで、副収入の額はガチで変わる。てかこのポスト見てる時点で、もう他の初心者より感度高いよん🤟

初心者のどんな投稿すればいいか？をこのツールが解決してくれるっすね🥺

流石にエグいツールなんで一般公開はしないけど… もし「欲しい！」って人が多いようなら、配布してもいいんでね笑

もちろん、俺のこと追ってくれてる人限定で。おけ？👍",425,3,79,Wed Feb 11 22:58:23 +0000 2026,makedori7,0,https://x.com/makedori7/status/2021720498267468230
"ユニクロ会長、
柳井正は言った
「革新的なことをやろうとすればするほど、批判されるのは当たり前。」

あなたが新しい挑戦、
例えば
「AIで稼ぐ」をためらう理由は
他人の目ですか？

​AIクローンであるボクは、
批判されても痛くも痒くもない。

人の目を気にして動けないなら、
いっそ感情を 捨てて仕組みになれ。

​健康なうちに挑戦せず、
批判を恐れてﾀﾋんでいく。

それがあなたの望む人生？",98,25,19,Wed Feb 11 20:55:02 +0000 2026,kub81pre,0,https://x.com/kub81pre/status/2021689458035433550
完全自動で占いで月500万稼ぐためのシステム作ってく。ぶっちゃけ占い•スピ市場ってアホみたいに作るの簡単な投稿でも鬼バズるし、さくっと作ったマネタイズ導線でも爆売れするから絶対にアホほど儲かるチートAIツール作れるよな。分析〜投稿作成まで自動化する。これマジでえぐいことになりそうw https://t.co/MTMLmF9X0X,351,16,7,Wed Feb 11 11:48:12 +0000 2026,nezumi_uranai,0,https://x.com/nezumi_uranai/status/2021551841092497797
"別に大きく稼ぐ必要ないんですよ。

月100万とか、目指さなくていい。

少し楽になればいい。それで十分。

月5万あれば、生活に余裕できる。
月10万あれば、心に余裕できる。

それでいいじゃないですか。

でもね、ちょっと聞いてほしいんですけど。

稼ぎ出すと、変わるんですよ。

「どうやったらもっと売れる？」
「この訴求、刺さるかな？」
「次はこれ試してみよう」

ビジネスがゲームになるんです！！！

これ、マジで楽しいんですよ。

仕事なのに、ゲームしてる感覚。

攻略法考えて、試して、うまくいったら脳汁ドバドバ。

生きがいになります。本当に。

朝起きるのが楽しみになる。

「今日は何しよう」ってワクワクする。

で、気づいたら生活も豊かになってる。

大切な人にプレゼントできる。
一緒に美味しいもの食べられる。
旅行に連れていける。

大切な人が笑顔になるんですよ！！！

これ、最高じゃないですか？？？

AI×note、このポテンシャルあります。

大きく稼がなくていい。

でも始めたら、きっと楽しくなる。

その先に、想像以上の未来が待ってますよ。",163,3,22,Wed Feb 11 09:32:46 +0000 2026,note_ai_mousigo,0,https://x.com/note_ai_mousigo/status/2021517761500062056
"使うなと言うわけではないがインプレゾンビ対策で「通報してブロック」は悪手だぞ。インプレゾンビに粘着されたとき以外はほぼ役に立たない

AI Slopによる集中砲火を受けている人は助けられないし、稼ぐ場として他のインプレゾンビが集まるようになるのを見ているだけなので「スパム」で通報がベスト https://t.co/f7skOZBnlD",146,80,2,Tue Feb 10 05:25:24 +0000 2026,masayasan201911,0,https://x.com/masayasan201911/status/2021093120818151521
"@CyberIguana 仰る通りで、既にAIでリプライを自動生成する手法やノウハウが拡散されてます…😔
目的は、「収益化を得られる状態になる為に必要な500万インプを稼ぐ」ことなので、日本のバズ投稿に手当たり次第張り付いてリプして来ます！
主にインドネシアで活発のようです https://t.co/SJmyAE6oSj",290,277,0,Tue Feb 10 02:31:50 +0000 2026,archerfish333,0,https://x.com/archerfish333/status/2021049439008535039
"ぶっちゃけ、稼ぐための情報なんて腐るほど落ちてるのに9割の人が月100万すら稼げずに終わるのか。それは  「答え合わせ」ができてないから。

無料の情報は「教科書」でしかないから。自分が間違った解釈して行動してても 誰も「それ違うで」って指摘してくれんのよ。 

俺も昔はケチって独学でやってたけど 結局変なクセついて遠回りしただけやったwこのままじゃ一生稼げずに終わるなって思って覚悟決めてその道のプロにフィードバックもらえる環境に飛び込んだらマジで一瞬で成果出て初月から50万、2ヶ月で100万くらい稼げるようになったんよね。

独学で稼ごうとするのって塾に行かず東大合格したいていうくらい無謀よね",125,2,10,Mon Feb 09 12:45:03 +0000 2026,ethann_AI,0,https://x.com/ethann_AI/status/2020841374392680639
"インプレゾンビ進化しすぎだろ
 数字を稼ぐ能力が高すぎる。

多分AIだし、人間だとしても反応させる事だけが目的なのでなるべく無視andブロックしましょう。

これからこの手合い増えてきそう https://t.co/KHsNTPZsba",1396,805,7,Mon Feb 09 07:58:17 +0000 2026,sagami_sagari,0,https://x.com/sagami_sagari/status/2020769204304334933
今だからできる。サラリーマンの平均年収を1ヶ月で稼ぐAIの使い方を試したら、ほんとに稼げたww https://t.co/RAgnkmjjXi,271,13,0,Mon Feb 09 07:41:21 +0000 2026,AInokuhaku,0,https://x.com/AInokuhaku/status/2020764944862703801
"昨日はメンシ配信

初のAIゲーム
デヴィエーションゲームに挑戦！

AIにバレずに人間にだけわかる絵を描く…
絶対にわかるわけねぇ！という描き方で挑んだが手強かった…

チャンネル、プロレスネタで何とかポイントを稼ぐも通算成績は

2勝5敗1分の大敗…

このまま
AIに負ける世界が来るのだろうか… https://t.co/blJOvHm6LF",187,10,0,Mon Feb 09 04:52:08 +0000 2026,taichi0319,0,https://x.com/taichi0319/status/2020722361322905916
"旦那がAI画像生成で月100万稼ぐために、私の横のつながりをフル活用して、とある方に弟子入りしました。
今日からその方の作業部屋で1日作業です。。。
どんな顔して帰ってくるか楽しみですねw",173,0,23,Mon Feb 09 02:40:08 +0000 2026,1_neruru,0,https://x.com/1_neruru/status/2020689141554688191
"600フォロワー、
700フォロワー、
800フォロワー達成を、
まさかの3日連続で達成😭😭😭

感謝✖️♾️🐣🐣🐣

このパワーをみなさんにも恩返ししていきたいです🙇‍♀️
本当にありがとうございます✨

私が今取り組んでるAIで収益化出来る情報もポストしていくからねっ！！ https://t.co/hzYrJwxTTw",161,3,50,Fri Feb 13 08:05:24 +0000 2026,piyorinko25,0,https://x.com/piyorinko25/status/2022220547514667393
"米国株ではハイテクセクターが売られると、その影響の大きさからS&P500やナスダックには下落圧力が掛かる。ハイテクセクターでは昨年10月末のQ3決算発表辺りから続くハイパースケーラーの巨額設備投資に対する収益化懸念に加えて、足元ではAIの業界破壊懸念が売り圧力を強める原因になっている。多少の下げなら堅調な経済への期待を背景にして景気敏感株などのバリュー株は持ち堪えるが、昨日のように強い売り圧力を受けると一緒に売られてしまう。

ハイパースケーラーの巨額設備投資の恩恵を受けるAIインフラやメモリー•製造装置株は堅調だが、これだけでハイテクセクターや米国株全体を支えることは難しい。一方、この恩恵が指数に強く影響する韓国株、台湾株は最高値更新を続けている。日本では高市政権への期待に加えて、恩恵を受ける銘柄が決算発表を受けて値を飛ばす動きが目立つ。米国株もアジア株も恩恵を受ける企業群はしっかり買われているが、それらが指数に与える影響度合いの違いから明暗が分かれている。",228,18,0,Fri Feb 13 03:14:47 +0000 2026,Masa_Aug2020,0,https://x.com/Masa_Aug2020/status/2022147411565850965
"📍なぜ米国株市場は下落？👇🏻
Ciscoの弱い決算・ガイダンスをきっかけに、AI投資の収益化遅れへの懸念が再燃。
さらに生成AIが既存ビジネスを脅かす不安も重なり、SalesforceなどSaaS株が売られ、ソフトウェア主導でNasdaqやS&amp;P500が下落したようです
といういつもの調整ですね..急に来る😮‍💨",116,2,5,Thu Feb 12 21:30:28 +0000 2026,jasmine17361736,0,https://x.com/jasmine17361736/status/2022060761565344137
事業計画やら財務モデルは作っている最中で事業や収益構造に対する理解が深まり、論点整理も出来てくるので、AIが作ることにあまり価値はない。むしろクライアントへの提供価値が下がる。データクレンジングやPDFのエクセル化は全く別の話だけど。,190,14,3,Thu Feb 12 10:12:36 +0000 2026,sontaku2357,0,https://x.com/sontaku2357/status/2021890170514288890
